celery-worker  | DEBUG 2025-07-16 16:01:22,321 sync_plan_executor Pack bsf_pk_f9022378159aec42 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,321 sync_plan_executor Created new pack bsf_pk_f9022378159aec42: create
celery-worker  | DEBUG 2025-07-16 16:01:22,322 sync_plan_executor Pack bsf_pk_5ecd4e7db2197480 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,323 sync_plan_executor Created new pack bsf_pk_5ecd4e7db2197480: create
celery-worker  | DEBUG 2025-07-16 16:01:22,323 sync_plan_executor Pack bsf_pk_84473d1ea86bbe0b has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,324 sync_plan_executor Created new pack bsf_pk_84473d1ea86bbe0b: create
celery-worker  | DEBUG 2025-07-16 16:01:22,324 sync_plan_executor Pack bsf_pk_e750986deb383b72 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,324 sync_plan_executor Created new pack bsf_pk_e750986deb383b72: create
celery-worker  | DEBUG 2025-07-16 16:01:22,325 sync_plan_executor Pack bsf_pk_ebcd7eace18db9b0 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,325 sync_plan_executor Created new pack bsf_pk_ebcd7eace18db9b0: create
celery-worker  | DEBUG 2025-07-16 16:01:22,326 sync_plan_executor Pack bsf_pk_d077308812274ce4 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,326 sync_plan_executor Created new pack bsf_pk_d077308812274ce4: create
